Group Code,Group Name,Class Code,Class Name,Position Code,Position Name,Subposition Code,Subposition Name,MXIK Code,MXIK Name,Fetched At
001,"TIRIK HAYVONLAR",00101,"Tirik otlar, eshaklar",00101001,"Tirik otlar va eshaklar",00101001001,"Tirik otlar",00101001001000000,"Final code for 00101001001",2025-08-13T20:20:45.790Z
001,"TIRIK HAYVONLAR",00101,"Tirik otlar, eshaklar",00101001,"Tirik otlar va eshaklar",00101001003,"Tirik otlar (so’yish vaznida)",00101001003000000,"Final code for 00101001003",2025-08-13T20:20:46.217Z
001,"TIRIK HAYVONLAR",00101,"Tirik otlar, eshaklar",00101001,"Tirik otlar va eshaklar",00101001007,"Tirik eshaklar",00101001007000000,"Final code for 00101001007",2025-08-13T20:20:46.532Z
001,"TIRIK HAYVONLAR",00102,"Yirik shoxli tirik uy qoramollari",00102001,"Tirik yirik shoxli uy qoramollari",00102001001,"Tirik buqalar",00102001001000000,"Final code for 00102001001",2025-08-13T20:20:47.103Z
001,"TIRIK HAYVONLAR",00102,"Yirik shoxli tirik uy qoramollari",00102001,"Tirik yirik shoxli uy qoramollari",00102001002,"Tirik sigirlar",00102001002000000,"Final code for 00102001002",2025-08-13T20:20:47.426Z
001,"TIRIK HAYVONLAR",00102,"Yirik shoxli tirik uy qoramollari",00102001,"Tirik yirik shoxli uy qoramollari",00102001003,"Buzoqlar",00102001003000000,"Final code for 00102001003",2025-08-13T20:20:47.748Z
001,"TIRIK HAYVONLAR",00102,"Yirik shoxli tirik uy qoramollari",00102001,"Tirik yirik shoxli uy qoramollari",00102001004,"Tirik buqalar, sigirlar va buzoqlar (so’yish vaznida)",00102001004000000,"Final code for 00102001004",2025-08-13T20:20:48.064Z
001,"TIRIK HAYVONLAR",00103,"Tirik cho’chqalar",00103001,"Tirik cho’chqalar",00103001001,"Tirik cho’chqalar",00103001001000000,"Final code for 00103001001",2025-08-13T20:20:48.621Z
001,"TIRIK HAYVONLAR",00103,"Tirik cho’chqalar",00103001,"Tirik cho’chqalar",00103001003,"Tirik cho’chqalar (so’yish vaznida)",00103001003000000,"Final code for 00103001003",2025-08-13T20:20:48.938Z
001,"TIRIK HAYVONLAR",00104,"Tirik qo’ylar va echkilar",00104001,"Tirik qo’ylar va echkilar ",00104001001,"Tirik qo’ylar",00104001001000000,"Final code for 00104001001",2025-08-13T20:20:49.508Z
001,"TIRIK HAYVONLAR",00104,"Tirik qo’ylar va echkilar",00104001,"Tirik qo’ylar va echkilar ",00104001003,"Tirik echkilar",00104001003000000,"Final code for 00104001003",2025-08-13T20:20:49.825Z
001,"TIRIK HAYVONLAR",00104,"Tirik qo’ylar va echkilar",00104001,"Tirik qo’ylar va echkilar ",00104001005,"Tirik qo’ylar va echkilar (so’yish vaznida)",00104001005000000,"Final code for 00104001005",2025-08-13T20:20:50.132Z
